station_id,station_name,region,prefecture
fmhana,ＦＭはな,北海道,北海道
moeru,エフエムもえる,北海道,北海道
airtesshi,Ａｉｒてっし,北海道,北海道
radioniseko,ラジオニセコ,北海道,北海道
iruka,FMいるか,北海道,北海道
muroran,FMびゅー,北海道,北海道
fmtomakomai,FMとまこまい,北海道,北海道
fmkuriyama,FMくりやま,北海道,北海道
fmazur,FM AZUR,東北,青森県
applewave,アップルウェーブ,東北,岩手県
fmgoshogawara,FMごしょがわら,東北,青森県
fmone,FMONE,東北,岩手県
fmiwanuma,エフエムいわぬま,東北,宮城県
hatfm,Ｈ＠！ＦＭ,東北,福島県
radiomonster,ラジオ モンスター,東北,福島県
yonezawancvfm,エフエムNCV,東北,山形県
orandaradio,えふえむい〜じゃん(),東北,福島県
harborradio,ハーバーラジオ,東北,宮城県
ultrafm,ウルトラＦＭ,東北,福島県
fmpoco,ＦＭポコ,東北,宮城県
fmkitakata,エフエムきたかた,東北,岩手県
fmaizu,FM愛'S,東北,福島県
fmdaigo,ＦＭだいご,関東,茨城県
fmkashima,FMかしま,関東,茨城県
radiotakasaki,ラジオ高崎,関東,群馬県
fmtaro,エフエム太郎,関東,群馬県
fmoze,ＦＭ ＯＺＥ,関東,栃木県
radionanami,ラヂオななみ,関東,埼玉県
fmchappy,ＦＭチャッピー,関東,千葉県
miyoshifm,発するFM,関東,千葉県
radiokawagoe,ラジオ川越,関東,埼玉県
ulalafm,市川うららFM(I&U-LaLaFM),関東,千葉県
kazusafm,かずさFM,関東,千葉県
radionarita,ラジオ成田,関東,千葉県
fmfukuro,ふくろうFM,関東,埼玉県
skywavefm,SKYWAVE FM,関東,茨城県
fmedogawa,ＦＭえどがわ,関東,東京都
musashinofm,むさしのＦＭ,関東,東京都
fmshinagawa,FMしながわ,関東,東京都
fmkatsushika,かつしかFM,関東,東京都
shibuyanoradio,渋谷のラジオ,関東,東京都
radiocity,中央エフエム・RADIO CITY,関東,東京都
komaraji,コマラジ,関東,東京都
fmblesohonan,ＦＭブルー湘南,関東,神奈川県
kamakurafm,鎌倉FM,関東,神奈川県
fmshonan,FM湘南ナパサ,関東,神奈川県
fmodawara,FMおだわら,関東,神奈川県
magicwave,FM湘南マジックウェイブ,関東,神奈川県
fmyamato,FMやまと,関東,神奈川県
radioshonan,レディオ湘南,関東,神奈川県
fmsalus,FMサルース,関東,東京都
marinefm,マリンFM,関東,東京都
fmtotsuka,エフエム戸塚,関東,神奈川県
chigasakifm,エボラジ,関東,神奈川県
fmkofu,エフエム甲府,信越,山梨県
fmfujiyama,FMふじやま,信越,山梨県
fmfujigoko,エフエム ふじごこ,信越,山梨県
fmyatsugatake,FM八ヶ岳,信越,長野県
radiochat,ラジオチャット・FMにいつ,信越,新潟県
fmuonuma,FMうおぬま,信越,新潟県
fmnagaoka,エフエムながおか,信越,新潟県
fmshibata,エフエムしばた,信越,新潟県
fmkento,FM KENTO,信越,新潟県
fmyukiguni,ＦＭゆきぐに,信越,新潟県
fmjyoetsu,FMじょうえつ,信越,新潟県
fmpikkara,FMピッカラ,信越,新潟県
lovefm,LCV FM,信越,群馬県
fmkaruizawa,FM軽井沢,信越,群馬県
azuminofm,エフエムあづみの,信越,長野県
shiojirifm,高ボッチ高原FM,信越,長野県
inadanifm,伊那谷FM,信越,長野県
fmpipi,ＦＭＰｉＰｉ,信越,長野県
fmwatch,ＦＭわっち,信越,長野県
hitsfm,Ｈｉｔｓ ＦＭ,東海,岐阜県
haro,FM Haro!,東海,愛知県
fnis,FM ISみらいずステーション,東海,静岡県
fmshimada,g-sky76.5,東海,静岡県
fujiyamagogofm,富士山ＧＯＧＯＦＭ,東海,静岡県
voicecue,ボイスキュー,東海,静岡県
fmshimizu,マリンパル,東海,静岡県
fmhi,FM-Hi！,東海,静岡県
radiof,Radio-f,東海,静岡県
coastfm,COAST-FM76.7MHZ,東海,静岡県
